 WORKFLOW_ENTRY_ID |     WORKFLOW_DATE      | GROUP | INSTANCE_ID | WORKFLOW_ITEM_ID 
-------------------+------------------------+-------+-------------+------------------
                36 | 2020-05-13 07:22:57+00 |     1 |          15 |               71
                37 | 2019-05-14 07:22:57+00 |     1 |          15 |               72
               168 | 2020-06-12 11:37:30+00 |     1 |          26 |               71
               260 | 2020-06-26 11:33:16+00 |     1 |          59 |               71
               169 | 2019-06-14 11:37:30+00 |     1 |          26 |               72
               290 | 2020-07-02 14:31:26+00 |     1 |         166 |               71
               291 | 2019-07-05 14:31:26+00 |     1 |         166 |               72
               308 | 2019-07-04 13:53:41+00 |     1 |          77 |               72
               307 | 2019-07-04 13:47:25+00 |     1 |         169 |               72
               303 | 2020-06-26 08:39:05+00 |     1 |         132 |               71
               304 | 2019-06-28 08:39:05+00 |     1 |         132 |               72
               299 | 2020-06-26 08:25:38+00 |     1 |         116 |               71
               300 | 2019-06-28 08:25:38+00 |     1 |         116 |               72
               314 | 2020-07-01 13:55:19+00 |     1 |          85 |               71
               315 | 2019-07-05 13:55:19+00 |     1 |          85 |               72
               305 | 2019-07-05 05:35:09+00 |     1 |           9 |               72
               310 | 2020-07-01 13:53:41+00 |     1 |          77 |               71
               349 | 2019-07-12 14:25:58+00 |     1 |         125 |               72
               351 | 2019-07-12 14:29:48+00 |     1 |         157 |               72
               353 | 2019-07-12 14:31:27+00 |     1 |         129 |               72
               392 | 2019-07-11 07:04:40+00 |     1 |         257 |               72
               400 | 2019-07-31 07:04:40+00 |     1 |         257 |               61
               441 | 2020-07-22 12:12:29+00 |     1 |         342 |               71
               442 | 2019-07-22 12:12:29+00 |     1 |         342 |               72
               443 | 2019-07-22 12:12:29+00 |     1 |         342 |               61
               462 | 2020-07-01 10:10:43+00 |     1 |         338 |               71
               463 | 2019-07-25 10:10:43+00 |     1 |         338 |               72
               467 | 2020-07-01 10:16:10+00 |     1 |         232 |               71
               468 | 2019-07-10 10:16:10+00 |     1 |         232 |               72
               543 | 2020-08-12 07:20:11+00 |     1 |         228 |               71
               544 | 2019-08-13 07:20:11+00 |     1 |         228 |               72
               548 | 2020-08-12 06:11:18+00 |     1 |         199 |               71
               549 | 2019-08-13 06:11:18+00 |     1 |         199 |               72
               552 | 2020-08-12 07:21:37+00 |     1 |         264 |               71
               556 | 2020-08-12 08:42:55+00 |     1 |         367 |               71
               574 | 2021-08-12 11:14:26+00 |     1 |         206 |               71
               575 | 2019-08-16 11:14:26+00 |     1 |         206 |               72
               527 | 2021-08-12 08:57:59+00 |     1 |         176 |               71
               458 | 2020-07-01 05:58:38+00 |     1 |          28 |               71
               459 | 2019-07-25 05:58:38+00 |     1 |          28 |               72
               560 | 2020-08-13 15:39:52+00 |     1 |         113 |               71
               578 | 2020-08-12 06:02:44+00 |     1 |         215 |               71
               579 | 2019-08-16 06:02:44+00 |     1 |         215 |               72
               590 | 2020-08-12 07:57:24+00 |     1 |         217 |               71
               591 | 2019-08-16 07:57:24+00 |     1 |         217 |               72
               639 | 2020-08-21 08:25:09+00 |     1 |         295 |               71
               640 | 2019-08-28 08:25:09+00 |     1 |         295 |               72
               582 | 2021-08-12 09:18:21+00 |     1 |         146 |               71
               686 | 2020-08-28 13:06:12+00 |     1 |         317 |               71
               701 | 2019-09-06 13:16:58+00 |     1 |         298 |               72
               706 | 2019-09-09 13:59:10+00 |     1 |         119 |               72
               700 | 2021-09-02 13:16:58+00 |     1 |         298 |               71
               583 | 2019-08-16 09:18:21+00 |     1 |         146 |               72
               691 | 2020-09-03 06:33:29+00 |     1 |         222 |               71
               689 | 2019-09-06 06:33:29+00 |     1 |         222 |               72
               704 | 2020-09-02 08:18:27+00 |     1 |         262 |               71
               687 | 2019-08-28 13:06:12+00 |     1 |         317 |               72
               605 | 2020-08-19 07:21:57+00 |     1 |         242 |               71
               705 | 2019-09-06 08:18:27+00 |     1 |         262 |               72
               586 | 2020-08-12 10:13:13+00 |     1 |         219 |               71
               587 | 2019-08-16 10:13:13+00 |     1 |         219 |               72
               678 | 2020-09-02 13:59:10+00 |     1 |         119 |               71
               597 | 2019-08-16 08:57:59+00 |     1 |         176 |               72
               594 | 2020-08-12 11:59:12+00 |     1 |         107 |               71
               595 | 2019-08-16 11:59:12+00 |     1 |         107 |               72
               606 | 2019-08-20 07:21:57+00 |     1 |         242 |               72
               680 | 2020-09-03 14:11:54+00 |     1 |         294 |               71
               681 | 2019-09-05 14:11:54+00 |     1 |         294 |               72
               719 | 2020-09-02 13:09:01+00 |     1 |         268 |               71
               763 | 2019-09-30 08:42:56+00 |     1 |         367 |               61
               261 | 2019-06-28 11:33:16+00 |     1 |          59 |               72
               732 | 2020-09-09 07:17:20+00 |     1 |          82 |               71
               720 | 2019-09-09 13:09:01+00 |     1 |         268 |               72
               711 | 2020-09-02 08:56:27+00 |     1 |         251 |               71
               712 | 2019-09-09 08:56:27+00 |     1 |         251 |               72
               733 | 2019-09-10 07:17:20+00 |     1 |          82 |               72
               882 | 2019-10-01 14:45:37+00 |     1 |         407 |               72
               894 | 2020-06-28 08:54:34+00 |     1 |         188 |               71
               895 | 2019-06-28 08:54:34+00 |     1 |         188 |               72
               940 | 2019-10-15 08:54:34+00 |     1 |         188 |               61
               952 | 2020-10-14 14:23:19+00 |     1 |         190 |               71
               953 | 2019-10-16 14:23:19+00 |     1 |         190 |               72
               977 | 2020-10-21 11:47:34+00 |     1 |         359 |               71
               978 | 2019-10-23 11:47:34+00 |     1 |         359 |               72
               981 | 2019-10-23 07:21:16+00 |     1 |         300 |               72
               966 | 2020-10-15 06:36:30+00 |     1 |         454 |               71
               967 | 2019-10-17 06:36:30+00 |     1 |         454 |               72
               980 | 2020-10-21 07:21:16+00 |     1 |         300 |               71
               890 | 2020-10-04 12:53:33+00 |     1 |         463 |               71
               891 | 2019-10-04 12:53:33+00 |     1 |         463 |               72
               738 | 2019-08-13 08:42:55+00 |     1 |         367 |               72
              1079 | 2020-11-05 13:20:14+00 |     1 |         423 |               71
              1080 | 2019-11-11 13:20:14+00 |     1 |         423 |               72
              1061 | 2019-11-07 07:38:14+00 |     1 |         475 |               72
              1065 | 2021-10-28 09:20:12+00 |     1 |         325 |               71
              1066 | 2019-11-07 10:20:12+00 |     1 |         325 |               72
              1058 | 2019-11-05 07:11:18+00 |     1 |         199 |               61
              1072 | 2020-10-28 12:28:00+00 |     1 |         286 |               71
              1073 | 2019-11-08 12:28:00+00 |     1 |         286 |               72
              1137 | 2020-11-18 09:46:17+00 |     1 |         503 |               71
              1138 | 2019-11-19 09:46:17+00 |     1 |         503 |               72
              1243 | 2020-07-10 08:39:31+00 |     1 |         234 |               71
              1244 | 2019-07-12 08:39:31+00 |     1 |         234 |               72
              1177 | 2020-11-25 07:04:43+00 |     1 |         571 |               71
              1178 | 2019-11-28 07:04:43+00 |     1 |         571 |               72
              1273 | 2020-10-16 14:04:49+00 |     1 |         347 |               71
              1209 | 2020-11-20 13:10:25+00 |     1 |         575 |               71
              1210 | 2019-11-25 13:10:25+00 |     1 |         575 |               72
              1212 | 2020-11-20 13:11:50+00 |     1 |         311 |               71
              1213 | 2019-11-25 13:11:50+00 |     1 |         311 |               72
              1216 | 2020-11-20 13:40:43+00 |     1 |         513 |               71
              1217 | 2019-12-02 13:40:43+00 |     1 |         513 |               72
              1205 | 2020-11-28 13:48:44+00 |     1 |         644 |               71
              1206 | 2019-11-28 13:48:44+00 |     1 |         644 |               72
              1221 | 2020-10-23 06:03:02+00 |     1 |         442 |               71
              1222 | 2019-11-04 07:03:02+00 |     1 |         442 |               72
              1228 | 2020-08-21 08:30:23+00 |     1 |         163 |               71
              1229 | 2019-08-23 08:30:23+00 |     1 |         163 |               72
              1231 | 2020-08-21 08:32:01+00 |     1 |         186 |               71
              1232 | 2019-08-23 08:32:01+00 |     1 |         186 |               72
              1252 | 2020-09-05 08:42:31+00 |     1 |         240 |               71
              1253 | 2019-09-10 08:42:31+00 |     1 |         240 |               72
              1255 | 2020-10-16 08:43:46+00 |     1 |         241 |               71
