id,name,
alle-beteiligten,Alle Beteiligten,Tutte le persone coinvolte
alle-kanton,Alle Kanton,Tutti Cantone
bauabnahme,Bauabnahme,Collaudo
beilagen-zum-gesuch,Beilagen zum Gesuch,Allegati alla domanda
beilagen-zum-gesuch-brandschutz,Brandschutz (Feuerpolizei),Protezione antincendio (polizia del fuoco)
beilagen-zum-gesuch-grundstuecksangaben,"Grundstücksangaben, Projektpläne und -beschrieb","Indicazioni relative al fondo, piani di progetto e descrizione del progetto"
beilagen-zum-gesuch-gutachten-nachweise-begruendungen,"Gutachten, Nachweise, Begründungen","Perizie, prove, motivazioni"
beilagen-zum-gesuch-weitere-gesuchsunterlagen,Weitere Gesuchsunterlagen,Altra documentazione di domanda
beteiligte-behörden,Beteiligte Behörden,Autorità coinvolte
intern,Intern,A uso interno
intern-mit-unterfachstellen,Intern (mit Unterfachstellen),A uso interno (con servizi di rango inferiore)
nachforderung,Nachforderung,Richiesta di precisazioni
stellungnahmen-are,Stellungnahmen ans ARE,Prese di posizione all'UST-GR
umweltschutzorganisationen,Umweltschutzorganisationen,Organizzazioni ambientaliste
