id,purpose,
1,Empfang Baugesuch (Gesuchsteller),Ricezione domanda di costruzione (persona richiedente)
2,Empfang Baugesuch (Behörden),Ricezione domanda di costruzione (autorità)
3,"Gesuchsbearbeitungs Einladung, Bestehend","Invito a evadere la domanda, esistente"
4,"Gesuchsbearbeitungs Einladung, Neu","Invito a evadere la domanda, nuovo"
5,Verfahrensablauf (Fachstelle),Procedura (servizio)
6,Vernehmlassung abgeschlossen,Procedura di consultazione conclusa
7,Entscheid (Gesuchsteller),Decisione (persona richiedente)
8,Entscheid (Behörden),Decisione (autorità)
9,"Nachforderung, Neu","Richiesta di precisazioni, nuovo"
10,Nachforderung beantwortet,Risposta a richiesta di precisazioni
11,Nachforderung geprüft positiv,"Richiesta di precisazioni esaminata, esito positivo"
12,Nachforderung geprüft negativ,"Richiesta di precisazioni esaminata, esito negativo"
13,"Beurteilung Vorabklärung, Bauanzeige, Solaranlage (Gesuchsteller)","Valutazione esame preliminare, annuncio di costruzione, impianto solare (persona richiedente)"
14,"Beurteilung Vorabklärung, Bauanzeige, Solaranlage (Behörden)","Valutazione esame preliminare, annuncio di costruzione, impianto solare (autorità)"
15,"Bauabnahme (GVG, AEV, Geometer)","Collaudo (AFG, UEnTr, geometra)"
16,Rückweisung (Gesuchsteller),Respingimento (persona richiedente)
17,Verfahrensablauf (USO),Procedura (associazioni ambientaliste)
18,Neue Nachricht (Gesuchsteller),Nuovo messaggio (persona richiedente)
19,Neue Nachricht (Behörden),Nuovo messaggio (autorità)
20,Meldung Fristüberschreitung (Fachstelle),Notifica superamento termine (servizio)
21,Bauabnahme (Gesuchsteller),Collaudo (persona richiedente)
