id,subject,
1,Erfolgreiche Einreichung,Trasmissione avvenuta con successo
2,Neu eingegangen ({{FORM_NAME_DE}}),Nuovi moduli pervenuti ({{FORM_NAME_DE}})
3,Einsicht respektive Mitarbeit in Dossier (Nr. {{ DOSSIER_NR }}),Presa in visione risp. collaborazione al dossier (n. {{ DOSSIER_NR }})
4,Einsicht respektive Mitarbeit in Dossier (Nr. {{ DOSSIER_NR }}),Presa in visione risp. collaborazione al dossier (n. {{ DOSSIER_NR }})
5,Hinweis zum Verfahrensablauf (Dossier-Nr. {{DOSSIER_NR}}),Indicazione relativa alla procedura (dossier n. {{DOSSIER_NR}})
6,Vernehmlassung abgeschlossen (Dossier-Nr. {{DOSSIER_NR}}),Consultazione conclusa (dossier n. {{DOSSIER_NR}})
7,Information über Entscheid (Dossier-Nr. {{DOSSIER_NR}}),Informazione relativa alla decisione (dossier n. {{DOSSIER_NR}})
8,Information über Entscheid (Dossier-Nr. {{DOSSIER_NR}}),Informazione relativa alla decisione (dossier n. {{DOSSIER_NR}})
9,Neue Nachforderung (Dossier-Nr. {{DOSSIER_NR}}),Nuova richiesta di precisazioni (dossier n. {{DOSSIER_NR}})
10,Nachforderung beantwortet (Dossier-Nr. {{DOSSIER_NR}}),Risposta alla richiesta di precisazioni (dossier n. {{DOSSIER_NR}})
11,Nachforderung akzeptiert (Dossier-Nr. {{DOSSIER_NR}}),Richiesta di precisazioni accettata (dossier n. {{DOSSIER_NR}})
12,Nachforderung abgelehnt (Dossier-Nr. {{DOSSIER_NR}}),Richiesta di precisazioni respinta (dossier n. {{DOSSIER_NR}})
13,Information über Beurteilung (Dossier-Nr. {{DOSSIER_NR}}),Informazione relativa alla valutazione (dossier n. {{DOSSIER_NR}})
14,Information über Beurteilung (Dossier-Nr. {{DOSSIER_NR}}),Informazione relativa alla valutazione (dossier n. {{DOSSIER_NR}})
15,Information über Bauabnahme (Dossier-Nr. {{DOSSIER_NR}}),Informazione relativa al collaudo (dossier n. {{DOSSIER_NR}})
16,Dossier aufgrund von Mängeln abgewiesen oder nicht darauf eingetreten (Dossier-Nr. {{DOSSIER_NR}}),Dossier respinto a causa di lacune oppure non entrata in materia (dossier n. {{DOSSIER_NR}})
17,Hinweis zum Verfahrensablauf (Dossier-Nr. {{DOSSIER_NR}}),Indicazione relativa alla procedura (dossier n. {{DOSSIER_NR}})
18,Neue Nachricht (Dossier-Nr. {{ DOSSIER_NR }}),Nuovo messaggio (dossier n. {{DOSSIER_NR}})
19,Neue Nachricht (Dossier-Nr. {{ DOSSIER_NR }}),Nuovo messaggio (dossier n. {{DOSSIER_NR}})
20,Meldung Fristüberschreitung (Dossier-Nr. {{DOSSIER_NR}}),Notifica superamento termine (dossier n. {{DOSSIER_NR}})
21,Information über Bauabnahme (Dossier-Nr. {{DOSSIER_NR}}),Informazione relativa al collaudo (dossier n. {{DOSSIER_NR}})
