id,label,label
additional-demand-decision-accept,Vollständig beantwortet,Risposto in ogni sua parte
additional-demand-decision-reject,Unvollständig beantwortet,Parzialmente risposto
decision-decision-approved,Bewilligt,Autorizzata
decision-decision-negative,Negativ,Negativa
decision-decision-other,Anderweitiger Geschäftsabschluss,Altra chiusura dell'affare
decision-decision-positive,Positiv,Positiva
decision-decision-positive-with-reservation,Mit Vorbehalt positiv (Projekt muss angepasst werden),Positiva con riserva (il progetto deve essere adeguato)
decision-decision-rejected,Abgelehnt,Respinta
decision-decision-retreat,Rückzug,Ritirata
decision-decision-written-off,Abgeschrieben,Stralciata
fuer-gvg-freigeben-ja,Dossier für Gebäudeversicherung (GVG) freigeben,Rilasciare il dossier per l'Assicurazione fabbricati (AFG)
inquiry-answer-status-approved,Bewilligung,Autorizzazione
inquiry-answer-status-claim,Nachforderung,Richiesta di precisazioni
inquiry-answer-status-following,Stellungnahme nachfolgend,In risposta a presa di posizione
inquiry-answer-status-negative,Negative Stellungnahme,Presa di posizione negativa
inquiry-answer-status-not-involved,Nicht betroffen / nicht zuständig,Non interessata / non competente
inquiry-answer-status-positive,Positive Stellungnahme,Presa di posizione positiva
inquiry-answer-status-rejected,Ablehnung,Rifiuto
inquiry-answer-status-renounced,Auf Stellungnahme wird verzichtet,Si rinuncia a una presa di posizione
inquiry-answer-status-unknown,Siehe Fachbericht (Antwort via eCH),Vedi rapporto tecnico (risposta via eCH)
inquiry-answer-status-written-off,Abschreibung,Stralcio
ja,"Die gesuchstellende Person bestätigt, dass die Anforderungen gemäss der FKS-Richtlinie für Feuerwehrzufahrten, Bewegungs- und Stellflächen sowie der VKF-Brandschutzrichtlinie 14-15 ""Verwendung von Baustoffen"" eingehalten werden","La persona richiedente conferma che sono rispettati i requisiti conformemente alla direttiva CSP concernente le vie di accesso, le superfici di manovra e di appoggio per i mezzi dei pompieri nonché alla direttiva della protezione antincendio AICAA 14-15 «Utilizzo di materiali da costruzione»"
24d-rpg-ja,Ja,sì
24d-rpg-nein,Nein,no
abblaseleitung-ja,Ja,sì
abblaseleitung-nein,Nein,no
abfaelle-und-erzeugnisse-der-landwirtschaft-ja,Ja,sì
abfaelle-und-erzeugnisse-der-landwirtschaft-nein,Nein,no
abgaskatalysator-bhkw-ja,Ja,sì
abgaskatalysator-bhkw-nein,Nein,no
abgehaengte-decken-in-fluchtwegen-brennbar,Brennbar (bestehender Zustand),infiammabile (stato esistente)
abgehaengte-decken-in-fluchtwegen-keine,Keine,nessuno
abgehaengte-decken-in-fluchtwegen-nicht-brennbar,Nicht brennbar,non infiammabile
ablaufleitung-fuer-fluessiggas-ja,Ja,sì
ablaufleitung-fuer-fluessiggas-nein,Nein,no
ableitung-des-gepumpten-gereinigten-wassers-in-grundwasser,Grundwasser,Acque sotterranee
ableitung-des-gepumpten-gereinigten-wassers-in-vorfluter,Vorfluter,ricettore naturale
ableitung-des-gereinigten-bohrabwassers-in-grundwasser,Grundwasser,Acque sotterranee
ableitung-des-gereinigten-bohrabwassers-in-vorfluter,Vorfluter,ricettore naturale
abluft-ja,Ja,sì
abluft-nein,Nein,no
abscheideranlage-ma,Mineralölabscheider (MA),separatore di oli minerali (SOM)
abscheideranlage-ma-mit-selbsttaetigem-abschluss-fuer-tankstellen-zwingend,MA mit selbsttätigem Abschluss (Für Tankstellen zwingend),SOM con chiusura automatica (obbligatorio per stazioni di rifornimento)
abstand-oberkante-anlage-dachrand-ja,Ja,sì
abstand-oberkante-anlage-dachrand-nein,Nein,no
abwasser-ja,Ja,sì
abwasser-nein,Nein,no
aenderungen-zur-vorherigen-bewilligung-ja,Ja,sì
aenderungen-zur-vorherigen-bewilligung-nein,Nein,no
angaben-zur-anlage-anderer,Anderer,altro
angaben-zur-anlage-firmenadresse,Firmenadresse,Indirizzo dell'azienda
angaben-zur-anlage-produktionsabteilung,Produktionsabteilung (wenn nicht Firmenadresse),Stabilimento di produzione (se non coincide con l'indirizzo dell'azienda)
angaben-zur-anlage-zweigstelle,Zweigstelle,Succursale
anlage-prozess-ablaugen-abbeizen,Ablaugen/Abbeizen,Sverniciatura/decapaggio
anlage-prozess-beizanlage,Beizanlage,Impianto di decapaggio
anlage-prozess-beschichtungsanlage,Beschichtungsanlage,Patinatrice
anlage-prozess-destillations-filtrationsanlage,"Destillations-, Filtrationsanlage",Sistema di distillazione/di filtrazione
anlage-prozess-farbspritz-lackieranlage,"Farbspritz-, Lackieranlage",Cabina per verniciatura a spruzzo/impianto di verniciatura
