id,label,info_text,placeholder,static_content,hint_text
additional-demand-comment,Bemerkung,Osservazione,,,
additional-demand-comment-fill,Bemerkung,Osservazione,,,
additional-demand-complete,Nachforderung senden,Invia richiesta di precisazioni,,,
additional-demand-complete-check,Prüfung abschliessen,Concludi esame,,,
additional-demand-deadline,Frist,Scadenza,,,
additional-demand-decision,Prüfergebnis,"Esito dell'esame",,,
additional-demand-files,Dateien,File,,,
decision-date,Datum,Data,,,
decision-decision,Entscheid / Beurteilung,Decisione / valutazione,,,
decision-description,Beschreibung,Descrizione,,,
decision-remarks,Bemerkungen,Osservazioni,,,
decision-submit,Entscheid verfügen,"Disponi decisione",,,
fuer-gvg-freigeben,Dossier für Gebäudeversicherung (GVG) freigeben,Rilasciare il dossier per l'Assicurazione fabbricati (AFG),,,
info-gvg,Info GVG,Info AFG,,"**Bitte beachten**: Gemäss Art. 17 Ziffer 1 des Gesetzes über die Gebäudeversicherung im Kanton Graubünden (Gebäudeversicherungsgesetz, GebVG) orientieren die Gemeinden die Gebäudeversicherung Graubünden über die erteilte Baubewilligung.
<style>[data-question-slug=""info-gvg""], [data-question-slug=""info-gvg""] p {margin-bottom: 0 !important;}</style>",
inquiry-answer-ancillary-clauses,Nebenbestimmungen,Disposizioni accessorie,,,
inquiry-answer-assessment,Beurteilung,Valutazione,,,
inquiry-answer-considerations,Erwägungen,Considerandi,,,
inquiry-answer-situation,Sachverhalt,Fattispecie,,,
inquiry-answer-status,Antwort,Risposta,,,
inquiry-deadline,Frist,Scadenza,,,
inquiry-remark,Bemerkungen,Osservazioni,,,
stellungnahme-bemerkungen,Bemerkungen,Osservazioni,,,
stellungnahme-in-dokumentanablage,Stellungnahme in Dokumentenablage,Presa di posizione nell'archivio dei documenti,,,
100-prozent-volumen,100% Volumen (Liter),100% volume (litri),,,
24d-rpg,Betrifft die Anlage eine schützenswerte Baute gemäss Art. 24d RPG oder Art. 39 Abs. 2 RPV?,L'impianto concerne un edificio degno di protezione conformemente all'art. 24d LPT o all'art. 39 cpv. 2 OPT?,,,
abblaseleitung,Abblaseleitung,Linea di sfogo,,,
abfaelle-und-erzeugnisse-der-landwirtschaft,Abfälle und Erzeugnisse der Landwirtschaft,Rifiuti e prodotti agricoli,,,
abfaelle-und-sonderabfaelle-titel,Abfälle und Sonderabfälle Titel,Rifiuti e rifiuti speciali titolo,,"---
#### Abfälle und Sonderabfälle",
abfallanlage,Abfallanlage,Impianto per i rifiuti,,,
abfallanlage-titel,Abfallanlage Titel,Impianto per i rifiuti titolo,,### Abfallanlage,
abfallbeschreibung,Abfallbeschreibung,Descrizione dei rifiuti,,,
abfallcodes,Beantragte Abfallcodes,Codici di rifiuto richiesti,,,
abfallcode-text,Abfallcode,"Codice di rifiuto",,,
abgasanlagen,Abgasanlagen,Dispositivi di evacuazione dei gas di scarico,,,
abgasemission-titel,Abgasemission Titel,Emissione di gas di scarico titolo,,"#### Abgasemissionen, garantierte Werksangaben",
abgaskatalysator-bhkw,Abgaskatalysator,Convertitore catalitico,,,
abgas-luft-menge,Abgas/ -luft Menge (m³/h),Quantità di gas/aria di scarico (m³/h),,,
abgas-luft-temperatur,Abgas / -luft Temperatur (°C),Temperatura di gas/aria di scarico (°C),,,
abgasstufe,Abgasstufe,Classe di emissione,,,
abgasvolumen-bhkw,Abgasvolumen (Nm³/h),Volume di gas di scarico (Nm³/h),,,
abgasvolumen-nmh,Abgasvolumen (Nm³/h),Volume di gas di scarico (Nm³/h),,,
abgehaengte-decken-in-fluchtwegen,Abgehängte Decken in Fluchtwegen,Controsoffitti delle vie di fuga,,,
abgenommen,Abgenommen,Collaudo superato,,,
ablaufdatum,Ablaufdatum,Data di scadenza,,,
ablaufleitung-fuer-fluessiggas,Besteht eine Ablaufleitung für Flüssiggas?,Esiste uno scarico per gas liquefatti?,,,
ableitung-der-abgase-titel,Ableitung der Abgase Titel,Evacuazione dei gas di scarico titolo,,"---
#### Ableitung der Abgase",
ableitung-des-gepumpten-gereinigten-wassers-in,Ableitung des gepumpten / gereinigten Wassers in,Evacuazione delle acque pompate/depurate in,,,
ableitung-des-gereinigten-bohrabwassers,Ableitung des gereinigten Bohrabwassers in,Evacuazione delle acque di scarico depurate prodotte durante le trivellazioni in,,,
ableitung-nach,Ableitung nach,Evacuazione in,,,
ableitung-von-industrie-und-gewerbeabwasser,Industrie- und Gewerbeabwasser,Acque di scarico industriali e artigianali,,,
abluft,Entsteht Abluft?,Viene prodotta aria di scarico?,,,
abluft-art-der-kontrolle,Art der Kontrolle,Tipo di controllo,,,
abluft-haeufigkeit,Häufigkeit,Frequenza,,,
abluft-verfahren-geraet,Verfahren / Gerät,Procedura / dispositivo,,,
abscheideranlage,Abscheideranlage,Separatore,,,
abstaende-zu-nachbargebaeude,Abstände zu Nachbargebäude (m),Distanze dagli edifici vicini (m),,,
abstand-oberkante-anlage-dachrand,Beträgt der Abstand vom Dachrand bis zur Oberkante der Anlage höchstens 1 Meter?,La distanza dal bordo del tetto allo spigolo superiore dell'impianto è di al massimo 1 metro?,,,
abtransport-ort-der-entsorgung,Abtransport: Ort der Entsorgung,Trasporto: luogo di smaltimento,,,
abtransport-volumen,Volumen Abtransport (m³),Volume del materiale trasportato (m³),,,
abwasser,Entsteht Abwasser?,Vengono prodotte acque di scarico?,,,
abwasseranfall-titel,Abwasseranfall Titel,Produzione di acque di scarico titolo,,"---
#### Abwasseranfall",
abwasser-art-der-kontrolle,Art der Kontrolle,Tipo di controllo,,,
abwasser-haeufigkeit,Häufigkeit,Frequenza,,,
abwasser-verfahren-geraet,Verfahren / Gerät,Procedura / dispositivo,,,
additional-demand-comment-check,Bemerkung,Osservazione,,,
additional-demand-deadline-check,Frist,Scadenza,,,
administrative-angaben-titel,Administrative Angaben Titel,Dati amministrativi titolo,,"---
#### Administrative Angaben",
aenderungen-zur-vorherigen-bewilligung,Wesentliche Änderungen zur vorherigen Bewilligung?,Vi sono modifiche sostanziali rispetto all'autorizzazione precedente?,,,
allgemeine-angaben,Lage des Vorhabens,Ubicazione del progetto,,,
allgemeine-angaben-zum-betrieb-titel,Allgemeine Angaben zum Betrieb Titel,Indicazioni generali relative all'esercizio titolo,,"---
#### Allgemeine Angaben zum Betrieb",
allgemeine-informationen,Allgemeine Informationen,Informazioni generali,,,
alter-der-feuerungsanlage,Alter der Feuerungsanlage,Età dell'impianto di combustione,,,
art-des-betriebs,Art des Betriebs,Tipo di esercizio,,,
ammoniak-bhkw,Ammoniak (NH₃),Ammoniaca (NH₃),,,
amtliche-gebaeudenummer,Gebäudeversicherungsnummer,Numero Assicurazione fabbricati,,,
andere-loeschwasserversorgungen,Andere Löschwasserversorgungen,Altri punti di rifornimento di acque di spegnimento,,,
angaben-zum-feuerungsbetrieb,Angaben zum Feuerungsbetrieb,Indicazioni relative all'impianto di combustione,,,
angaben-zum-gebaeude-titel,Angaben zum Gebäude Titel,Indicazioni relative all'edificio titolo,,"---
#### Angaben zum Gebäude",
angaben-zum-motorenbetrieb,Angaben zum Motorenbetrieb,Indicazioni relative al motore,,,
angaben-zum-saisonbetrieb,Angaben zum Saisonbetrieb,Indicazioni relative all'esercizio stagionale,,,
angaben-zum-saisonbetrieb-feuerungsbetrieb,Angaben zum Saisonbetrieb,Indicazioni relative all'esercizio stagionale,,,
angaben-zur-anlage,Angaben zur Anlage,Indicazioni relative all'impianto,,,
angaben-zur-bewaesserung-titel,Angaben zur Bewässerung Titel,Indicazioni relative all'irrigazione titolo,,"---
#### Angaben zur Bewässerung",
anlageart,Anlageart,Tipo di impianto,,,
