id,static_content,
info-gvg,"**Bitte beachten**: Gemäss Art. 17 Ziffer 1 des Gesetzes über die Gebäudeversicherung im Kanton Graubünden (Gebäudeversicherungsgesetz, GebVG) orientieren die Gemeinden die Gebäudeversicherung Graubünden über die erteilte Baubewilligung.
<style>[data-question-slug=""info-gvg""], [data-question-slug=""info-gvg""] p {margin-bottom: 0 !important;}</style>","**Attenzione**: conformemente all'art. 17 cpv. 1 della legge concernente l'Assicurazione fabbricati nel Cantone dei Grigioni (legge sull'Assicurazione fabbricati, LAFab), i comuni informano l'Assicurazione fabbricati dei Grigioni in merito al rilascio della licenza edilizia.
 "
abfaelle-und-sonderabfaelle-titel,"---
#### Abfälle und Sonderabfälle","---
#### Rifiuti e rifiuti speciali"
abfallanlage-titel,### Abfallanlage,### Impianto per i rifiuti
abgasemission-titel,"#### Abgasemissionen, garantierte Werksangaben","#### Emissioni di gas di scarico, indicazioni garantite dal fabbricante"
ableitung-der-abgase-titel,"---
#### Ableitung der Abgase","---
#### Evacuazione dei gas di scarico"
abwasseranfall-titel,"---
#### Abwasseranfall","---
#### Produzione di acque di scarico"
administrative-angaben-titel,"---
#### Administrative Angaben","---
#### Dati amministrativi"
allgemeine-angaben-zum-betrieb-titel,"---
#### Allgemeine Angaben zum Betrieb","---
#### Indicazioni generali concernenti l'azienda"
angaben-zum-gebaeude-titel,"---
#### Angaben zum Gebäude","---
#### Indicazioni relative all'edificio"
angaben-zur-bewaesserung-titel,"---
#### Angaben zur Bewässerung","---
#### Indicazioni relative all'irrigazione"
anlagedaten-bhkw-titel,#### Anlagedaten,#### Dati dell'impianto
anlagedatenblatt-titel,### Anlagedatenblatt,### Scheda tecnica dell'impianto
anlagedaten-titel,#### Anlagedaten,#### Dati dell'impianto
anlagenprozesse-titel,"---
#### Anlagen/Prozesse","---
#### Impianti/processi"
anlagen-titel,"---
### Anlagen","---
### Impianti"
art-des-betriebs-titel,"---
#### Art des Betriebs","---
#### Tipo di azienda"
art-und-menge-des-abwassers-titel,"---
#### Angaben über Art und Menge des Abwassers","---
#### Indicazioni relative al tipo e alla quantità di acque di scarico"
aufstellungsraum-der-feuerungsanlage-titel,"---
#### Aufstellungsraum der Feuerungsanlage","---
#### Locale di installazione dell'impianto di combustione"
ausnuetzungsziffer-titel,"---
#### Nutzungsziffer","---
#### Indice di utilizzazione"
bauabstaende-mehrlaengen-titel,"---
#### Bauabstände / Mehrlängen","---
#### Distanze / maggiori lunghezze"
baukonstruktion-titel,"---
#### Baukonstruktion","---
#### Costruzione"
bauliche-angaben-titel,### Brandschutz - Bauliche Angaben,### Protezione antincendio - indicazioni edilizie
bauten-titel,"---
### Bauten","---
### Edifici"
bauten-und-anlagen-ausserhalb-bauzone-titel,### Bauten und Anlagen ausserhalb der Bauzone (BAB),### Edifici e impianti al di fuori della zona edificabile (EFZ)
berechnungsergebnisse-titel,"---
#### Berechnungsergebnisse","---
#### Risultati del calcolo"
berechnungsgrundlagen-statischer-text,"<table>
  <tr>
    <th align=""left"">Anzahl Simulationsjahre</th>
    <td>50 Jahre</td>
  </tr>
  <tr>
    <th align=""left"">Temparaturdifferenz über Sonde (Richtwert 3 - 4 K, maximal 5)</th>
    <td>3 K</td>
    <td>4 K</td>
    <td>5 K</td>
  </tr>
  <tr>
    <th align=""left"">Rücklauftemperatur nach 50 Jahre minimal</th>
    <td>-3.0 °C</td>
    <td>-3.5 °C</td>
    <td>-4.0 °C</td>
  </tr>
</table>","<table>
  <tr>
    <th align=""left"">Numero di anni di simulazione</th>
    <td>50 anni</td>
  </tr>
  <tr>
    <th align=""left"">Differenza di temperatura attraverso la sonda (valore di riferimento 3 – 4 K, max. 5)</th>
    <td>3 K</td>
    <td>4 K</td>
    <td>5 K</td>
  </tr>
  <tr>
    <th align=""left"">Temperatura di ritorno dopo 50 anni come minimo</th>
    <td>-3.0 °C</td>
    <td>-3.5 °C</td>
    <td>-4.0 °C</td>
  </tr>
</table>"
berechnungsgrundlagen-titel,"---
#### Berechnungsgrundlagen","---
#### Basi di calcolo"
betriebsleiterwohnhaus-titel,### Betriebsleiterwohnhaus,### Abitazione del gestore dell'azienda
bisherige-abfallrechtliche-bewilligungen-titel,"---
#### Bisherige abfallrechtliche Bewilligungen","---
#### Precedenti autorizzazioni di diritto in materia di rifiuti"
blockheizkraftwerk-titel,"----
### Blockheizkraftwerk (BHKW)","----
### Centrale termoelettrica a blocco (CTEB)"
brandbekaempfung-titel,"---
#### Brandbekämpfung","---
#### Lotta antincendio"
brandschutzeinrichtungen-titel,"---
#### Brandschutzeinrichtungen","---
#### Dispositivi di protezione antincendio"
brandschutz-haustechnik-titel,"### Brandschutz - Haustechnik

#### Angaben zur Feuerungsanlage","### Protezione antincendio - impiantistica

#### Indicazioni relative all'impianto di combustione"
brennstofflager-titel,"---
#### Treib- und Brennstofflagerung","---
#### Stoccaggio di carburanti e combustibili"
brennstoff-titel,"----
### Brennstoff","----
### Combustibile"
