SERVICE_ID,NAME,
2,Gemeinde Albula/Alvra,Comune di Albula/Alvra
104,"Amt für Industrie, Gewerbe und Arbeit (KIGA)","Ufficio per l'industria, arti e mestieri e lavoro (UCIAML)"
107,Amt für Landwirtschaft und Geoinformation 2 (ALG2),Ufficio per l'agricoltura e la geoinformazione 2 (UAG2)
108,Amt für Lebensmittelsicherheit und Tiergesundheit (ALT),Ufficio per la sicurezza delle derrate alimentari e la salute degli animali (USDA)
111,Amt für Wald und Naturgefahren (AWN),Ufficio foreste e pericoli naturali (UFP)
112,Archäologischer Dienst Graubünden (ADG),Servizio archeologico dei Grigioni
114,Bundesamt für Strassen / Astra,Ufficio federale delle strade / USTRA
115,Bundesamt für Umwelt / Biodiversität und Landschaft,Ufficio federale dell'ambiente / Biodiversità e paesaggio
120,Rhätische Bahn,Ferrovia Retica
121,SBB AG,FFS SA
123,Kantonspolizei (KAPO),Polizia cantonale (Polca)
124,Amt für Immobilienbewertung (AIB),Ufficio per le valutazioni immobiliari (UVI)
117,"Gebäudeversicherung Graubünden, Versicherung","Assicurazione fabbricati dei Grigioni, assicurazione"
125,"Gebäudeversicherung Graubünden, Brandschutz","Assicurazione fabbricati dei Grigioni, protezione antincendio"
119,Grundbuchinspektorat und Handelsregister (GIHA),Ispettorato del registro fondiario e registro di commercio (IRFRC)
103,Amt für Energie und Verkehr (AEV),Ufficio dell'energia e dei trasporti (UEnTr)
106,Amt für Landwirtschaft und Geoinformation (ALG),Ufficio per l'agricoltura e la geoinformazione (UAG)
105,Amt für Jagd und Fischerei (AJF),Ufficio per la caccia e la pesca (UCP)
1,Amt für Raumentwicklung (ARE),Ufficio per lo sviluppo del territorio (UST-GR)
116,Denkmalpflege GR,Servizio monumenti dei Grigioni
110,Amt für Natur und Umwelt (ANU),Ufficio per la natura e l'ambiente (UNA)
118,"Gebäudeversicherung Graubünden, Elementarschadenprävention","Assicurazione fabbricati dei Grigioni, prevenzione danni elementari"
122,Tiefbauamt (TBA),Ufficio tecnico (UT)
113,Bundesamt für Strassen (ASTRA),Ufficio federale delle strade (USTRA)
109,Amt für Militär und Zivilschutz (AMZ),Ufficio del militare e della protezione civile (UMPC)
174,Matterhorn Gotthard Bahn,Matterhorn Gotthard Bahn
176,Armasuisse Immobilien,armasuisse Immobili
178,PostAuto,AutoPostale
3,Gemeinde Andeer,Comune di Andeer
185,Plantahof,Plantahof
191,Fachstelle Hindernisfreies Bauen Pro Infirmis,Servizio di consulenza costruzioni senza ostacoli Pro Infirmis
4,Gemeinde Arosa,Comune di Arosa
5,Gemeinde Avers,Comune di Avers
6,Gemeinde Bergün Filisur,Comune di Bergün Filisur
22,Gemeinde Disentis/Mustér,Comune di Disentis/Mustér
84,Gemeinde Surses,Comune di Surses
7,Gemeinde Bever,Comune di Bever
8,Gemeinde Bonaduz,Comune di Bonaduz
9,Gemeinde Bregaglia,Comune di Bregaglia
10,Gemeinde Breil/Brigels,Comune di Breil/Brigels
11,Gemeinde Brusio,Comune di Brusio
12,Gemeinde Buseno,Comune di Buseno
13,Gemeinde Calanca,Comune di Calanca
14,Gemeinde Cama,Comune di Cama
15,Gemeinde Castaneda,Comune di Castaneda
16,Gemeinde Cazis,Comune di Cazis
17,Gemeinde Celerina / Schlarigna,Comune di Celerina / Schlarigna
18,Gemeinde Chur,Comune di Coira
19,Gemeinde Churwalden,Comune di Churwalden
20,Gemeinde Conters im Prättigau,Comune di Conters im Prättigau
21,Gemeinde Davos,Comune di Davos
23,Gemeinde Domat/Ems,Comune di Domat/Ems
25,Gemeinde Falera,Comune di Falera
26,Gemeinde Felsberg,Comune di Felsberg
27,Gemeinde Ferrera,Comune di Ferrera
28,Gemeinde Fideris,Comune di Fideris
29,Gemeinde Fläsch,Comune di Fläsch
30,Gemeinde Flerden,Comune di Flerden
31,Gemeinde Flims,Comune di Flims
32,Gemeinde Furna,Comune di Furna
33,Gemeinde Fürstenau,Comune di Fürstenau
34,Gemeinde Grono,Comune di Grono
35,Gemeinde Grüsch,Comune di Grüsch
36,Gemeinde Ilanz/Glion,Comune di Ilanz/Glion
37,Gemeinde Jenaz,Comune di Jenaz
38,Gemeinde Jenins,Comune di Jenins
39,Gemeinde Klosters,Comune di Klosters
40,Gemeinde Küblis,Comune di Küblis
41,Gemeinde La Punt Chamues-ch,Comune di La Punt Chamues-ch
42,Gemeinde Laax,Comune di Laax
43,Gemeinde Landquart,Comune di Landquart
44,Gemeinde Lantsch/Lenz,Comune di Lantsch/Lenz
45,Gemeinde Lostallo,Comune di Lostallo
46,Gemeinde Lumnezia,Comune di Lumnezia
47,Gemeinde Luzein,Comune di Luzein
