TEXT,TEXT_FR,ACTION_ID
"Dossier eingereicht","Dossier déposé",10020
"Dossier eingereicht","Dossier déposé",20027
"Dossier eingereicht","Dossier déposé",20029
"eBau-Nr. vergeben","Attribution d'un numéro eBau",20030
"Dossierprüfung abgeschlossen","Examen du dossier clos",20031
"Zirkulation gestartet","Procédure de circulation lancée",20033
"Zirkulation abgeschlossen","Procédure de circulation close",20034
"Dossier eingereicht","Dossier déposé",20075
"Bauentscheid verfügt","Décision relative à la demande de permis de construire rendue",20080
"Dossier zurückgewiesen","Dossier renvoyé",20081
