Deutsch,Français
Vorbereitende Massnahmen,mesures préparatoires
Wohnen Tabelle,logements
Grossraumbüros 400 m² oder mehr als 20 Arbeitsplätze im gleichen Raum,Bureaux paysagés > 400 m2 ou plus de 20 postes de travail dans la même pièce
Parzelle Tabelle,parcelle
Farbe,Couleur
Beschreibung Andere,description autre
Tragkonstruktion,Construction portante
Umnutzungen (z.B. zivile Nutzung militärischer Bauten),changement d'affectation (p. ex. utilisation civile des bâtiments militaires) 
freigabequittung-text,Declaration de validation
Brennbare Gase bis 1000 kg,gaz inflammables jusqu'à 1000 kg
in m²,en m2
Liegenschaftsnummer,N° de bien-fonds
bauvorhaben-separator,projet de construction
Fassaden,Façades
Behebergungsbetriebe,établissements d'hébergement
Material,Matériel
"Findet eine Terrainveränderung < 2000 m² statt, welche zu einer Bodenaufwertung führt?",Y a-t-il un remodelage de terrain < 2'000 m2 entraînant une réhabilitation du sol?
MFH,IPL (immeuble à plusieurs logements)
"Bei einer allfälligen Handänderung verpflichten sich die Bauherrschaft und Grundeigentümerin/Grundeigentümer, bzw. Baurechtsnehmerin/Baurechtsnehmer, diese Erklärung einer allfälligen Rechtsnachfolge zu überbinden.","En cas de changement de propriété, le maître d'ouvrage et propriétaire ou bénéficiaire du droit de superficie s'engage à transférer à son successeur les obligations découlant de la présente déclaration."
Anzahl Gärten / Terrassen,Nombre jardins / terrasses
Immissionsschutz I,Protection contre les immissions
Verkaufsgeschäfte,magasins
Landwirtschaftliches Bauvorhaben mit Ableitung?,Construction agricole avec déversement dans la fosse à purin
Unterkante der Baugrubenumschliessung (m ü. M.),Cote la plus basse de l'enceinte de la fouille (m s. m.)
Naturgefahren: Handelt es sich um ein sensibles Objekt?,Dangers naturels: s'agit-il d'un objet sensible?
Kontaktperson - Name,Contact - nom
Die Anforderungen sind gemäss Art. 11 – 15 BewD eingehalten.,Les exigences énoncées aux articles 11 à 15 DPC sont respectées.
Bruttogeschossfläche über 12000 m²,Surface brute de plancher supérieure à 12000 m2
Rodungs- und Ersatzaufforstungsplan,Plan de défrichement et de reboisement de compensation
Fischhaltung / Aquakulturanlage,Pisciculture / installation aquacole
Zu unterzeichnende Dokumente,Documents à signer
Bohrlänge pro Sondenmodell,Longueur des forages par modèle de sonde
"Der/die Gesuchsteller/in bestätigt, dass er keinen Tatbestand zu den Bestimmungen zum Natur-, Wild- und Vogelschutz tangiert.","Le/la requérant/e atteste que son projet n'est pas concerné par les dispositions relatives à la protection de la nature, de la faune sauvage et des oiseaux."
Kälteleistung kW (B0/W35),Puissance frigorifique en kW (B0/W35)
Eigentümer,Propriétaire(s)
Selbstdeklaration 1,Déclaration spontanée 1
Umfasst die Bauabfallmenge insgesamt 200 m³?,La quantité de déchets de chantier atteint-elle 200 m³?
Ableitung in Güllegrube,Déversement dans une fosse à purin
"Für die Reinigung-, Aufbereitung- und Beschichtung","pour le nettoyage, traitement et revêtement"
