SUBJECT,SUBJECT_FR,BODY,BODY_FR,TEMPLATE_ID
"Erfolgreiche Einreichung - {{FORM_NAME}}","Formulaire déposé avec succès - {{FORM_NAME}}","Guten Tag

Ihr/e {{FORM_NAME}} mit der Dossier-Nr. {{INSTANCE_ID}} wurde erfolgreich übermittelt. Das Verfahren wird nun ausgelöst. Sie werden über Statusänderungen informiert.

{{DOSSIER_LINK}}

Freundliche Grüsse
{{LEITBEHOERDE_NAME}}
","Madame, Monsieur,

Votre {{FORM_NAME}} portant le numéro de dossier {{INSTANCE_ID}} a été déposé/e avec succès. La procédure est ouverte et tout changement de statut vous sera communiqué.

{{DOSSIER_LINK}}

Veuillez agréer, Madame, Monsieur, nos salutations les meilleures.
{{LEITBEHOERDE_NAME}}
",1
"Neu eingegangen: {{FORM_NAME}}","Nouvelle entrée: {{FORM_NAME}}","Guten Tag

Im eBau gibt es einen neuen Eingang vom Typ {{FORM_NAME}} mit der Dossier-Nr. {{INSTANCE_ID}}.

{{DOSSIER_LINK}}

Freundliche Grüsse
{{LEITBEHOERDE_NAME}}","Madame, Monsieur,

eBau a enregistré une nouvelle entrée de type {{FORM_NAME}} portant le numéro de dossier {{INSTANCE_ID}}.

{{DOSSIER_LINK}}

Veuillez agréer, Madame, Monsieur, nos salutations les meilleures.
{{LEITBEHOERDE_NAME}}",2
"Voranfrage wurde übermittelt (eBau-Nr. {{EBAU_NUMBER}})","Demande préalable transmise (n° eBau {{EBAU_NUMBER}})","Guten Tag

Die bearbeitete Voranfrage mit der eBau-Nr. {{EBAU_NUMBER}} ({{INSTANCE_ID}}) wurde erfolgreich an den / die Anfragesteller(in) /oder die Anfragestellenden übermittelt.

{{DOSSIER_LINK}}","Madame, Monsieur,

La demande préalable portant le numéro eBau {{EBAU_NUMBER}} ({{INSTANCE_ID}}) a été traitée puis transmise avec succès à l'auteur/e de la question.

{{DOSSIER_LINK}}",3
"Empfang Baugesuch eBau-Nr. {{EBAU_NUMBER}}","Réception de la demande de permis de construire portant le numéro eBau {{EBAU_NUMBER}}","Guten Tag

Das Baugesuch mit der eBau-Nr. {{EBAU_NUMBER}} ({{INSTANCE_ID}}) wurde erfolgreich übermittelt. Die Gemeinde {{MUNICIPALITY}} eröffnet das Baubewilligungsverfahren.

{{DOSSIER_LINK}}

Freundliche Grüsse
","Madame, Monsieur,

La demande de permis de construire portant le numéro eBau {{EBAU_NUMBER}} ({{INSTANCE_ID}}) a été transmise avec succès. La commune de {{MUNICIPALITY}} ouvre la procédure d'octroi du permis de construire.

{{DOSSIER_LINK}}

Veuillez agréer, Madame, Monsieur, nos salutations les meilleures.
",4
"Empfangsbestätigung Baugesuch (eBau-Nr. {{EBAU_NUMBER}})","Accusé de réception de la demande de permis de construire (n° eBau {{EBAU_NUMBER}})","Guten Tag

Das Baugesuch mit der eBau-Nr. {{EBAU_NUMBER}} ({{INSTANCE_ID}}) wurde erfolgreich übermittelt. Das Verfahren wird nun ausgelöst. Sie werden über die Statusmeldungen informiert. 

{{DOSSIER_LINK}}

Freundliche Grüsse
{{MUNICIPALITY}}","Madame, Monsieur,

La demande de permis de construire portant le numéro eBau {{EBAU_NUMBER}} ({{INSTANCE_ID}}) a été déposée avec succès. La procédure est ouverte et tout changement de statut vous sera communiqué. 

{{DOSSIER_LINK}}

Veuillez agréer, Madame, Monsieur, nos salutations les meilleures.
{{MUNICIPALITY}}",5
"Aufforderung Bereinigung Baugesuch (eBau-Nr. {{EBAU_NUMBER}})","Invitation à corriger la demande de permis de construire (n° eBau {{EBAU_NUMBER}})","Guten Tag

Das Baugesuch mit der eBau-Nr. {{EBAU_NUMBER}} ({{INSTANCE_ID}}) wurde formell geprüft. Sie erhalten den Brief mit dem Prüfresultat beigefügt.

{{DOSSIER_LINK}}

Freundliche Grüsse
{{MUNICIPALITY}}","Madame, Monsieur,

La demande de permis de construire portant le numéro eBau {{EBAU_NUMBER}} ({{INSTANCE_ID}}) a fait l'objet d'un examen formel dont le résultat vous est communiqué dans le courrier ci-joint.

{{DOSSIER_LINK}}

Veuillez agréer, Madame, Monsieur, nos salutations les meilleures.
{{MUNICIPALITY}}",6
"Fortsetzung Baugesuch (eBau-Nr. {{EBAU_NUMBER}})","Poursuite du traitement de la demande de permis de construire (n° eBau {{EBAU_NUMBER}})","Guten Tag

Wir leiten Ihnen zuständigkeitshalber das Baugesuch mit der eBau-Nr. {{EBAU_NUMBER}} ({{INSTANCE_ID}}) zur Fortsetzung des Baubewilligungsverfahrens weiter.

{{DOSSIER_LINK}}

Freundliche Grüsse
","Madame, Monsieur,

Veuillez trouver ci-joint la demande de permis de construire portant le numéro eBau {{EBAU_NUMBER}} ({{INSTANCE_ID}}), dont la poursuite du traitement relève de votre compétence.

{{DOSSIER_LINK}}

Veuillez agréer, Madame, Monsieur, nos salutations les meilleures.
",7
"Erklärung Zuständigkeit (eBau Nr. {{EBAU_NUMBER}})","Déclaration relative à la compétence (n° eBau {{EBAU_NUMBER}})","Guten Tag

Das Baubewilligungsverfahren für das Baugesuch mit der eBau Nr. {{EBAU_NUMBER}} ({{INSTANCE_ID}}) wurde zuständigkeitshalber übernommen. 

{{DOSSIER_LINK}}

Freundliche Grüsse 
{{LEITBEHOERDE_NAME}}
","Madame, Monsieur,

Notre autorité se charge de la demande de permis de construire portant le numéro eBau {{EBAU_NUMBER}} ({{INSTANCE_ID}}), qui relève de sa compétence. 

{{DOSSIER_LINK}}

Veuillez agréer, Madame, Monsieur, nos salutations les meilleures. 
{{LEITBEHOERDE_NAME}}
",8
"Baugesuch aufgrund Mängel abweisen oder nicht eintreten (eBau Nr. {{EBAU_NUMBER}})","Renvoi ou irrecevabilité d'une demande de permis de construire lacunaire (n° eBau {{EBAU_NUMBER}})","Guten Tag 

Die Baubewilligungsbehörde {{LEITBEHOERDE_NAME}} hat das Baugesuch mit der eBau Nr. {{EBAU_NUMBER}} ({{INSTANCE_ID}}) geprüft. Bitte beachten Sie die angefügte Verfügung.

{{DOSSIER_LINK}}

Freundliche Grüsse
","Madame, Monsieur, 

L'autorité d'octroi du permis de construire ({{LEITBEHOERDE_NAME}}) a examiné la demande de permis portant le numéro eBau {{EBAU_NUMBER}} ({{INSTANCE_ID}}). Veuillez observer la décision ci-jointe.

{{DOSSIER_LINK}}

Veuillez agréer, Madame, Monsieur, nos salutations les meilleures.
",9
"Hinweis zum Verfahrensablauf (eBau Nr. {{EBAU_NUMBER}})","Précision sur le déroulement de la procédure (n° eBau {{EBAU_NUMBER}})","Guten Tag

Das von Ihnen eingereichte Baugesuch mit der eBau Nr. {{EBAU_NUMBER}} wurde geprüft und das Leitverfahren ausgelöst. Entnehmen Sie die Verfahrensdaten dem beigefügten Dokument.

{{DOSSIER_LINK}}

Freundliche Grüsse
{{LEITBEHOERDE_NAME}}","Madame, Monsieur,

La demande de permis de construire portant le numéro eBau {{EBAU_NUMBER}} déposée par vos soins a été examinée. La procédure directrice a été lancée et vous trouverez les précisions y relatives dans le document ci-joint.

{{DOSSIER_LINK}}

Veuillez agréer, Madame, Monsieur, nos salutations les meilleures.
{{LEITBEHOERDE_NAME}}",10
