NAME,NAME_FR,QUESTION_ID
Gemeinde (*** da cancellare?),Commune (*** da cancellare?),20000
"Geben Sie an, welche Rollen bei der Baugesuchseingabe zusätzlich zu den Bauenden von Ihnen verwendet werden?","Veuillez indiquer quels rôles vous utilisez, en plus de celui de requérant, dans le cas de la demande de permis de construire.",20001
Welche Wärmepumpen sind im Bauvorhaben vorgesehen?,Quelles pompes à chaleur sont-elles prévues dans le projet de construction?,20002
Handelt es sich um eine juristische Person?,S'agit-il d'une personne morale?,20003
Name juristische Person,Nom de la personne morale,20004
Kontaktperson – Vorname,Contact – Prénom,20005
Kontaktperson – Name,Contact – Nom,20006
Vorname,Prénom,20007
Name,Nom,20008
Strasse,Rue,20009
Nummer,Numéro,20010
PLZ,NPA,20011
Ort,Localité,20012
Telefon oder Mobile,Téléphone fixe ou mobile,20013
E-Mail,Courriel,20014
Vollmacht,Procuration,20015
Handelt es sich um eine juristische Person?,S'agit-il d'une personne morale?,20016
Handelt es sich um eine juristische Person?,S'agit-il d'une personne morale?,20017
Handelt es sich um eine juristische Person?,S'agit-il d'une personne morale?,20018
Baubeschrieb,Description de la construction,20019
Beschreibung,Description,20020
Sicherungsmassnahmen,Mesures de sûreté,20021
Baukosten in CHF,Coûts de construction en francs,20022
Geplanter Baustart,Début prévu des travaux,20023
Dauer in Monaten,Durée en mois,20024
Welche Aspekte des generellen Baugesuches müssen geprüft werden?,Quels aspects de la demande de permis de construire général doivent-ils être examinés?,20025
Amts- / Fachstelle,Office ou service spécialisé,20026
Zusätze zu Amts-/Fachstellen,Compléments relatifs aux offices ou services spécialisés,20027
Kontaktperson,Contact,20028
Datum,Date,20029
Mit eBau-Nr.?,Numéro eBau?,20030
eBau-Nummer,Numéro eBau,20031
Bemerkungen,Remarques,20032
Für welche Nutzungsart dient das Bauvorhaben?,A quel type d'affectation le projet de construction est-il destiné?,20033
Besteht bereits eine eBau-Nummer?,Un numéro eBau existe-t-il déjà?,20034
eBau-Nummer,Numéro eBau,20035
Eingabedatum,Date de saisie,20036
Rückmeldung,Préavis,20037
Dossier-Nr.,N° du dossier,40000
Name,Nom,40001
Vorname,Prénom,40002
Strasse,Rue,40003
Nr.,N°,40004
PLZ.,NPA,40005
Ort,Localité,40006
Karte,Carte,40007
Daten übernehmen,Reprendre les données,40008
Lagekoordinaten,Coordonnées planimétriques,40009
Parzellen-Nr. / Liegenschaftsnummer,N° de parcelle / de bien-fonds,40010
BE-GID,BE-GID,40011
GWR-EGID-Nr.,N° RegBL-EGID,40012
E-GRID-Nr.,N° E-GRID,40013
Anfrage zur Vorabklärung,Question sur l'étude préalable,40014
temporaneo,temporaneo,40015
Um was für ein Gebäude handelt es sich?,De quel type de bâtiment s'agit-il?,40016
Beinhaltet das Bauvorhaben Nutzungen mit Brandbelastung von über 1000 MJ/m²?,Le projet de construction comprend-il des affectations dont la charge thermique excède 1000 MJ/m²?,40017
"Werden nach der Bauabnahme für die Herstellung, Veredelung oder Unterhalt von Produkten maschinelle Arbeitsmittel verwendet?","Des outils de travail mécaniques seront-ils utilisés, après la réception des travaux, pour la fabrication, la valorisation ou l'entretien de produits?",40018
"Werden nach der Bauabnahme gesundheitsschädliche, giftige, brandgefährliche oder explosive Stoffe gelagert oder verwendet?","Des substances nocives, toxiques, inflammables ou explosives seront-elles entreposées ou utilisées après la réception des travaux?",40019
"Verursacht das Vorhaben nach der Bauabnahme Abluft, welche verunreinigt ist (Schadstoffe, Gerüche)?","Le projet dégagera-t-il de l'air vicié (polluants, odeurs) après la réception des travaux?",40020
Verursacht das Vorhaben nach der Bauabnahme Aussenlärm?,Le projet provoquera-t-il du bruit extérieur après la réception des travaux?,40021
Umfasst das Vorhaben folgende Feuerungsanlagen?,Le projet prévoit-il l'une ou plusieurs des installations de chauffage suivantes?,40022
Um was handelt es sich beim Vorhaben?,Sur quoi le projet porte-t-il?,40023
